Size of Array,Type of Array,Sorting Algorithm,Number of Comparisons,Execution Time
1,Random,Heap,0,4.2e-06
1,Random,Bubble,0,1.96e-05
1,Random,Selection,0,7e-07
1,Random,Insertion,0,1.3e-06
1,Sorted,Heap,0,9e-07
1,Sorted,Bubble,0,1.2e-06
1,Sorted,Selection,0,1.2e-06
1,Sorted,Insertion,0,1.2e-06
1,Inversely-sorted,Heap,0,9e-07
1,Inversely-sorted,Bubble,0,8e-07
1,Inversely-sorted,Selection,0,1.2e-06
1,Inversely-sorted,Insertion,0,1e-06
2,Random,Heap,0,1.1e-06
2,Random,Bubble,1,1.1e-06
2,Random,Selection,1,1.3e-06
2,Random,Insertion,1,1.2e-06
2,Sorted,Heap,0,1.2e-06
2,Sorted,Bubble,1,1e-06
2,Sorted,Selection,1,1.2e-06
2,Sorted,Insertion,1,1.1e-06
2,Inversely-sorted,Heap,1,1.1e-06
2,Inversely-sorted,Bubble,1,1.2e-06
2,Inversely-sorted,Selection,1,1.6e-06
2,Inversely-sorted,Insertion,1,1.4e-06
3,Random,Heap,1,1.7e-06
3,Random,Bubble,3,1.2e-06
3,Random,Selection,3,1.2e-06
3,Random,Insertion,3,1.5e-06
3,Sorted,Heap,1,1.6e-06
3,Sorted,Bubble,2,1.2e-06
3,Sorted,Selection,3,1.6e-06
3,Sorted,Insertion,2,1.2e-06
3,Inversely-sorted,Heap,2,2.1e-06
3,Inversely-sorted,Bubble,3,1.3e-06
3,Inversely-sorted,Selection,3,1.5e-06
3,Inversely-sorted,Insertion,3,2.4e-06
4,Random,Heap,2,1.5e-06
4,Random,Bubble,6,1.3e-06
4,Random,Selection,6,1.3e-06
4,Random,Insertion,4,1.9e-06
4,Sorted,Heap,1,1.3e-06
4,Sorted,Bubble,3,1.3e-06
4,Sorted,Selection,6,1.3e-06
4,Sorted,Insertion,3,1.9e-06
4,Inversely-sorted,Heap,5,1.5e-06
4,Inversely-sorted,Bubble,6,1.5e-06
4,Inversely-sorted,Selection,6,1.4e-06
4,Inversely-sorted,Insertion,6,1.6e-06
5,Random,Heap,4,1.7e-06
5,Random,Bubble,9,1.5e-06
5,Random,Selection,10,1.5e-06
5,Random,Insertion,7,1.5e-06
5,Sorted,Heap,4,1.9e-06
5,Sorted,Bubble,4,1.1e-06
5,Sorted,Selection,10,1.6e-06
5,Sorted,Insertion,4,1.2e-06
5,Inversely-sorted,Heap,6,1.7e-06
5,Inversely-sorted,Bubble,10,1.8e-06
5,Inversely-sorted,Selection,10,1.4e-06
5,Inversely-sorted,Insertion,10,1.6e-06
6,Random,Heap,6,1.9e-06
6,Random,Bubble,14,1.6e-06
6,Random,Selection,15,1.9e-06
6,Random,Insertion,11,1.6e-06
6,Sorted,Heap,4,1.6e-06
6,Sorted,Bubble,5,1.1e-06
6,Sorted,Selection,15,2.2e-06
6,Sorted,Insertion,5,1.5e-06
6,Inversely-sorted,Heap,9,1.9e-06
6,Inversely-sorted,Bubble,15,1.7e-06
6,Inversely-sorted,Selection,15,1.4e-06
6,Inversely-sorted,Insertion,15,2.8e-06
7,Random,Heap,10,2.4e-06
7,Random,Bubble,21,1.8e-06
7,Random,Selection,21,1.5e-06
7,Random,Insertion,19,1.7e-06
7,Sorted,Heap,5,1.8e-06
7,Sorted,Bubble,6,1.2e-06
7,Sorted,Selection,21,2.2e-06
7,Sorted,Insertion,6,1.3e-06
7,Inversely-sorted,Heap,10,2e-06
7,Inversely-sorted,Bubble,21,2e-06
7,Inversely-sorted,Selection,21,1.6e-06
7,Inversely-sorted,Insertion,21,2.2e-06
8,Random,Heap,12,2.4e-06
8,Random,Bubble,28,1.9e-06
8,Random,Selection,28,2e-06
8,Random,Insertion,21,2e-06
8,Sorted,Heap,9,2.1e-06
8,Sorted,Bubble,7,1.3e-06
8,Sorted,Selection,28,1.9e-06
8,Sorted,Insertion,7,1.9e-06
8,Inversely-sorted,Heap,15,2.3e-06
8,Inversely-sorted,Bubble,28,2.3e-06
8,Inversely-sorted,Selection,28,1.6e-06
8,Inversely-sorted,Insertion,28,2.3e-06
9,Random,Heap,14,2.3e-06
9,Random,Bubble,36,2.1e-06
9,Random,Selection,36,1.8e-06
9,Random,Insertion,26,2.7e-06
9,Sorted,Heap,12,2.4e-06
9,Sorted,Bubble,8,1.2e-06
9,Sorted,Selection,36,1.7e-06
9,Sorted,Insertion,8,1.4e-06
9,Inversely-sorted,Heap,18,2.6e-06
9,Inversely-sorted,Bubble,36,2.7e-06
9,Inversely-sorted,Selection,36,1.9e-06
9,Inversely-sorted,Insertion,36,2.6e-06
10,Random,Heap,19,3.9e-06
10,Random,Bubble,44,2.6e-06
10,Random,Selection,45,1.8e-06
10,Random,Insertion,28,2.4e-06
10,Sorted,Heap,12,2.4e-06
10,Sorted,Bubble,9,1e-06
10,Sorted,Selection,45,1.6e-06
10,Sorted,Insertion,9,1.8e-06
10,Inversely-sorted,Heap,21,2.8e-06
10,Inversely-sorted,Bubble,45,2.8e-06
10,Inversely-sorted,Selection,45,1.7e-06
10,Inversely-sorted,Insertion,45,3.1e-06
11,Random,Heap,19,2.9e-06
11,Random,Bubble,52,2.6e-06
11,Random,Selection,55,2.5e-06
11,Random,Insertion,31,2.5e-06
11,Sorted,Heap,13,2.7e-06
11,Sorted,Bubble,10,1.2e-06
11,Sorted,Selection,55,1.8e-06
11,Sorted,Insertion,10,1.3e-06
11,Inversely-sorted,Heap,24,3.1e-06
11,Inversely-sorted,Bubble,55,3.5e-06
11,Inversely-sorted,Selection,55,1.7e-06
11,Inversely-sorted,Insertion,55,3.6e-06
12,Random,Heap,25,3.2e-06
12,Random,Bubble,56,2.5e-06
12,Random,Selection,66,1.9e-06
12,Random,Insertion,36,3.6e-06
12,Sorted,Heap,17,2.7e-06
12,Sorted,Bubble,11,1.1e-06
12,Sorted,Selection,66,1.8e-06
12,Sorted,Insertion,11,1.4e-06
12,Inversely-sorted,Heap,29,3.5e-06
12,Inversely-sorted,Bubble,66,3.7e-06
12,Inversely-sorted,Selection,66,1.7e-06
12,Inversely-sorted,Insertion,66,3.9e-06
13,Random,Heap,27,4.8e-06
13,Random,Bubble,77,3.1e-06
13,Random,Selection,78,1.9e-06
13,Random,Insertion,51,2.9e-06
13,Sorted,Heap,22,3.2e-06
13,Sorted,Bubble,12,1.1e-06
13,Sorted,Selection,78,1.8e-06
13,Sorted,Insertion,12,1.2e-06
13,Inversely-sorted,Heap,32,3.6e-06
13,Inversely-sorted,Bubble,78,4.2e-06
13,Inversely-sorted,Selection,78,1.9e-06
13,Inversely-sorted,Insertion,78,4.3e-06
14,Random,Heap,27,3.4e-06
14,Random,Bubble,88,3.4e-06
14,Random,Selection,91,2.2e-06
14,Random,Insertion,62,3.6e-06
14,Sorted,Heap,22,3.3e-06
14,Sorted,Bubble,13,1e-06
14,Sorted,Selection,91,1.8e-06
14,Sorted,Insertion,13,1.2e-06
14,Inversely-sorted,Heap,35,3.9e-06
14,Inversely-sorted,Bubble,91,4.7e-06
14,Inversely-sorted,Selection,91,2.1e-06
14,Inversely-sorted,Insertion,91,4.9e-06
15,Random,Heap,34,4.9e-06
15,Random,Bubble,102,4e-06
15,Random,Selection,105,2.3e-06
15,Random,Insertion,74,4.3e-06
15,Sorted,Heap,25,3.6e-06
15,Sorted,Bubble,14,1.3e-06
15,Sorted,Selection,105,2e-06
15,Sorted,Insertion,14,1.2e-06
15,Inversely-sorted,Heap,38,4.2e-06
15,Inversely-sorted,Bubble,105,5.4e-06
15,Inversely-sorted,Selection,105,2e-06
15,Inversely-sorted,Insertion,105,5.3e-06
16,Random,Heap,39,4.8e-06
16,Random,Bubble,110,3.6e-06
16,Random,Selection,120,2.2e-06
